Park,Lake_Code,Lake,Sample_Date,Treatment,Treatment_N_ug,Treatment_P_ug,Treatment_Category,chl_a_ugL
NOCA,MR-14-01,Rainbow,8/22/13,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.25
NOCA,MR-14-01,Rainbow,8/22/13,control,0,0,no enrichment,0.63
NOCA,MR-14-01,Rainbow,8/22/13,control,0,0,no enrichment,0.25
NOCA,MR-14-01,Rainbow,8/15/13,initial,0,0,no enrichment,0.61
NOCA,MR-14-01,Rainbow,8/15/13,initial,0,0,no enrichment,0.63
NOCA,MR-14-01,Rainbow,8/22/13,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.3
NOCA,MR-14-01,Rainbow,8/22/13,112 N + 31 P,112,31,112 ug N + 31 ug P,5.84
NOCA,MR-14-01,Rainbow,8/22/13,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.28
NOCA,MR-14-01,Rainbow,8/15/13,initial,0,0,no enrichment,0.7
NOCA,MR-14-01,Rainbow,8/22/13,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.71
NOCA,MR-14-01,Rainbow,8/22/13,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.4
NOCA,MR-14-01,Rainbow,8/22/13,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.47
NOCA,MR-14-01,Rainbow,8/22/13,112 N,112,0,N only,0.8
NOCA,MR-14-01,Rainbow,8/22/13,112 N + 31 P,112,31,112 ug N + 31 ug P,4.33
NOCA,MR-14-01,Rainbow,8/22/13,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.44
NOCA,MR-14-01,Rainbow,8/22/13,7,7,31,N + 31 ug P + 2.8 mg Si,0.56
NOCA,MR-14-01,Rainbow,8/22/13,14,14,31,N + 31 ug P + 2.8 mg Si,0.96
NOCA,MR-14-01,Rainbow,8/22/13,control,0,0,no enrichment,0.72
NOCA,MR-14-01,Rainbow,8/22/13,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.44
NOCA,MR-14-01,Rainbow,8/22/13,31 P,0,31,P only,0.48
NOCA,MR-14-01,Rainbow,8/22/13,31 P,0,31,P only,0.58
NOCA,MR-14-01,Rainbow,8/22/13,31 P,0,31,P only,0.34
NOCA,MR-14-01,Rainbow,8/22/13,14,14,31,N + 31 ug P + 2.8 mg Si,1.23
NOCA,MR-14-01,Rainbow,8/22/13,0.14,0.14,31,N + 31 ug P + 2.8 mg Si,0.31
NOCA,MR-14-01,Rainbow,8/22/13,7,7,31,N + 31 ug P + 2.8 mg Si,0.41
NOCA,MR-14-01,Rainbow,8/22/13,14,14,31,N + 31 ug P + 2.8 mg Si,0.64
NOCA,MR-14-01,Rainbow,8/22/13,7,7,31,N + 31 ug P + 2.8 mg Si,0.39
NOCA,MR-14-01,Rainbow,8/22/13,112 N,112,0,N only,1.35
NOCA,MR-14-01,Rainbow,8/22/13,112 N + 31 P,112,31,112 ug N + 31 ug P,5.78
NOCA,MR-14-01,Rainbow,8/22/13,112 N,112,0,N only,1.06
NOCA,CP-01-01,Doubtful,8/26/13,14,14,31,N + 31 ug P + 2.8 mg Si,0.15
NOCA,CP-01-01,Doubtful,8/26/13,0.7,0.7,31,N + 31 ug P + 2.8 mg Si,0.15
NOCA,CP-01-01,Doubtful,8/26/13,1.4,1.4,31,N + 31 ug P + 2.8 mg Si,0.16
NOCA,CP-01-01,Doubtful,8/26/13,112 N,112,0,N only,0.88
